"trips.passengerslogid","trips.passengerid","trips.driverid","trips.pickuplatitide","trips.pickuplongitude","trips.droplatitude","trips.droplongitude","trips.actualpickuptime","trips.pickupdate","trips.pickuphour","trips.droptime","trips.dropdate","trips.drophour"
"2728","729","333","6.8695445765","79.8807891458","","","2015-06-20 14:39:32","2015-06-20","14","2015-06-20 14:50:19","2015-06-20","14"
"2729","727","351","6.8900452153","79.8638308793","","","2015-06-20 14:45:28","2015-06-20","14","2015-06-20 14:49:43","2015-06-20","14"
"2733","605","358","6.8870940000","79.8591120000","","","2015-06-20 15:13:53","2015-06-20","15","2015-06-20 16:23:29","2015-06-20","16"
"2734","727","177","6.8901493989","79.8637138680","","","2015-06-20 15:43:58","2015-06-20","15","2015-06-20 15:56:01","2015-06-20","15"
"2735","361","175","6.8875973946","79.8551948369","","","2015-06-20 15:40:57","2015-06-20","15","2015-06-20 15:49:12","2015-06-20","15"
"2739","904","367","6.9141226559","79.8721148819","","","2015-06-20 15:44:50","2015-06-20","15","2015-06-20 15:49:51","2015-06-20","15"
"2740","729","290","6.8887777024","79.8756510392","","","2015-06-20 15:48:42","2015-06-20","15","2015-06-20 15:57:12","2015-06-20","15"
"2741","1079","367","6.8974800000","79.8755820000","","","2015-06-20 16:08:00","2015-06-20","16","2015-06-20 16:15:08","2015-06-20","16"
"2743","1091","175","6.8630875359","79.8666019365","","","2015-06-20 16:30:08","2015-06-20","16","2015-06-20 16:35:11","2015-06-20","16"
"2746","1091","283","6.8793291659","79.8693669587","","","2015-06-20 16:58:14","2015-06-20","16","2015-06-20 17:06:39","2015-06-20","17"
"2752","361","317","6.8738159349","79.8629159108","","","2015-06-20 17:18:10","2015-06-20","17","2015-06-20 17:48:39","2015-06-20","17"
"2755","1091","301","6.8843021033","79.8583279923","","","2015-06-20 17:26:46","2015-06-20","17","2015-06-20 17:34:41","2015-06-20","17"
"2761","35","367","6.8881868832","79.8557748646","","","2015-06-20 17:41:06","2015-06-20","17","2015-06-20 18:20:52","2015-06-20","18"
"2762","1079","382","6.9065830000","79.8682070000","","","2015-06-20 17:47:57","2015-06-20","17","2015-06-20 18:06:50","2015-06-20","18"
"2764","361","317","6.9536674656","79.8620881140","","","2015-06-20 17:50:45","2015-06-20","17","2015-06-20 18:00:07","2015-06-20","18"
"2765","727","301","6.8881023377","79.8558110744","","","2015-06-20 17:53:46","2015-06-20","17","2015-06-20 18:19:35","2015-06-20","18"
"2766","592","356","6.8882241631","79.8558660597","","","2015-06-20 18:11:29","2015-06-20","18","2015-06-20 19:08:21","2015-06-20","19"
"2769","904","177","6.9029578097","79.8645168543","","","2015-06-20 18:42:56","2015-06-20","18","2015-06-20 18:53:18","2015-06-20","18"
"2771","1007","304","6.9030237131","79.8538168520","","","2015-06-20 19:37:11","2015-06-20","19","2015-06-20 19:50:01","2015-06-20","19"
"2772","1091","293","6.9150765684","79.8526899889","","","2015-06-20 19:31:03","2015-06-20","19","2015-06-20 19:39:01","2015-06-20","19"
"2774","1041","353","6.8881922089","79.8557681590","","","2015-06-20 19:48:26","2015-06-20","19","2015-06-20 20:22:24","2015-06-20","20"
"2778","590","293","6.8881680000","79.8558560000","","","2015-06-20 19:57:58","2015-06-20","19","2015-06-20 20:06:24","2015-06-20","20"
"2782","974","312","6.8678942081","79.9044378474","","","2015-06-20 20:34:51","2015-06-20","20","2015-06-20 20:56:38","2015-06-20","20"
"2799","1128","378","6.9248489011","79.8837151006","","","2015-06-20 23:58:31","2015-06-20","23","2015-06-20 23:59:23","2015-06-20","23"
"2803","1109","388","6.9069752409","79.8532170430","","","2015-06-21 00:24:33","2015-06-21","0","2015-06-21 00:27:39","2015-06-21","0"
"2806","994","367","6.9039197329","79.8790768906","","","2015-06-21 00:48:48","2015-06-21","0","2015-06-21 00:57:01","2015-06-21","0"
"2810","1007","367","6.9001885249","79.8738620058","","","2015-06-21 01:24:21","2015-06-21","1","2015-06-21 01:24:44","2015-06-21","1"
"2814","1124","333","6.8771961792","79.8891750723","","","2015-06-21 10:16:55","2015-06-21","10","2015-06-21 10:18:32","2015-06-21","10"
"2817","590","14","6.9089750000","79.8691100000","6.8880230000","79.8557539000","2015-06-21 12:37:14","2015-06-21","12","2015-06-21 13:08:35","2015-06-21","13"
"2818","590","14","6.8880050000","79.8556130000","6.9108174000","79.8667874000","2015-06-21 13:16:58","2015-06-21","13","2015-06-21 13:33:24","2015-06-21","13"
"2828","35","358","6.8587921141","79.8694460839","","","2015-06-21 16:24:03","2015-06-21","16","2015-06-21 16:24:31","2015-06-21","16"
"2830","1091","367","6.9131867148","79.8512010276","","","2015-06-21 16:24:02","2015-06-21","16","2015-06-21 16:31:06","2015-06-21","16"
"2834","1091","309","6.8939998471","79.8552820086","","","2015-06-21 16:57:09","2015-06-21","16","2015-06-21 17:08:11","2015-06-21","17"
"2836","1091","360","6.8648331225","79.8633541167","","","2015-06-21 17:30:15","2015-06-21","17","2015-06-21 17:38:05","2015-06-21","17"
"2837","1091","361","6.8840401433","79.8584061116","","","2015-06-21 17:46:07","2015-06-21","17","2015-06-21 17:50:22","2015-06-21","17"
"2845","809","278","6.7788890346","80.0073930994","","","2015-06-21 20:30:05","2015-06-21","20","2015-06-21 20:30:17","2015-06-21","20"
"2846","809","278","6.7789582845","80.0075848773","","","2015-06-21 20:38:27","2015-06-21","20","2015-06-21 20:38:36","2015-06-21","20"
"2848","809","273","6.7109088171","79.9113931507","","","2015-06-21 21:26:42","2015-06-21","21","2015-06-21 21:27:01","2015-06-21","21"
"2849","972","353","6.8937265754","79.8575058952","","","2015-06-21 21:36:41","2015-06-21","21","2015-06-21 21:52:35","2015-06-21","21"
"2851","809","268","6.9572657931","79.9386490881","","","2015-06-21 21:41:25","2015-06-21","21","2015-06-21 21:42:56","2015-06-21","21"
"2856","1013","329","6.8810454011","79.8975690454","","","2015-06-22 07:31:51","2015-06-22","7","2015-06-22 08:38:30","2015-06-22","8"
"2857","1052","297","6.8799675955","79.9063841254","","","2015-06-22 08:24:31","2015-06-22","8","2015-06-22 10:44:43","2015-06-22","10"
"2861","1163","375","6.8931950000","79.8586590000","","","2015-06-22 10:41:07","2015-06-22","10","2015-06-22 10:41:16","2015-06-22","10"
"2864","592","175","6.8677590627","79.8693381250","","","2015-06-22 08:32:39","2015-06-22","8","2015-06-22 08:43:18","2015-06-22","8"
"2865","590","177","6.9088610000","79.8692460000","","","2015-06-22 08:55:16","2015-06-22","8","2015-06-22 09:07:45","2015-06-22","9"
"2866","1087","293","6.9162355062","79.8689914495","","","2015-06-22 09:01:49","2015-06-22","9","2015-06-22 09:01:56","2015-06-22","9"
"2869","684","177","6.9106780000","79.8669830000","","","2015-06-22 09:44:00","2015-06-22","9","2015-06-22 09:55:49","2015-06-22","9"
"2877","35","89","6.8588350552","79.8693180084","6.8994318000","79.8536343000","2015-06-22 10:42:20","2015-06-22","10","2015-06-22 11:11:02","2015-06-22","11"
"2879","729","391","6.8888096566","79.8554818332","","","2015-06-22 11:44:47","2015-06-22","11","2015-06-22 11:46:45","2015-06-22","11"
"2880","1041","349","6.8883163642","79.8560578376","","","2015-06-22 15:15:47","2015-06-22","15","2015-06-22 15:15:50","2015-06-22","15"
"2883","35","356","6.8584961866","79.8696197569","","","2015-06-22 12:54:47","2015-06-22","12","2015-06-22 13:07:09","2015-06-22","13"
"2884","1181","17","6.9185980000","79.8643860000","6.9241288000","79.8740602000","2015-06-22 13:07:35","2015-06-22","13","2015-06-22 13:07:38","2015-06-22","13"
"2885","1175","351","6.8839320000","79.8583570000","","","2015-06-22 13:00:57","2015-06-22","13","2015-06-22 13:37:53","2015-06-22","13"
"2886","728","22","6.8881120000","79.8559010000","","","2015-06-22 13:22:09","2015-06-22","13","2015-06-22 13:40:10","2015-06-22","13"
"2888","1091","175","6.9150406220","79.8528291285","","","2015-06-22 13:49:55","2015-06-22","13","2015-06-22 14:22:37","2015-06-22","14"
"2893","729","399","6.8886492201","79.8551224172","","","2015-06-22 13:53:34","2015-06-22","13","2015-06-22 13:54:35","2015-06-22","13"
"2895","727","351","6.8881442776","79.8558338732","","","2015-06-22 14:00:23","2015-06-22","14","2015-06-22 16:44:16","2015-06-22","16"
"2897","805","356","6.8880780000","79.8557600000","","","2015-06-22 14:30:56","2015-06-22","14","2015-06-22 14:31:02","2015-06-22","14"
"2899","729","404","6.8886575415","79.8551220819","","","2015-06-22 14:50:40","2015-06-22","14","2015-06-22 14:51:33","2015-06-22","14"
"2903","1091","356","6.8880547393","79.8557691649","","","2015-06-22 15:19:24","2015-06-22","15","2015-06-22 15:29:33","2015-06-22","15"
"2904","1241","264","6.9225137577","79.8571870476","","","2015-06-22 15:15:14","2015-06-22","15","2015-06-23 15:41:46","2015-06-23","15"
"2913","1259","375","6.9215080000","79.8547960000","","","2015-06-22 16:00:46","2015-06-22","16","2015-06-22 16:00:50","2015-06-22","16"
"2916","729","356","6.8880886906","79.8559475318","","","2015-06-22 16:25:14","2015-06-22","16","2015-06-22 16:25:18","2015-06-22","16"
"2918","1214","177","6.9202320000","79.8678320000","","","2015-06-22 16:44:38","2015-06-22","16","2015-06-22 18:13:01","2015-06-22","18"
"2922","1267","17","6.9143150000","79.8501880000","6.9140407000","79.8502799000","2015-06-22 16:40:07","2015-06-22","16","2015-06-22 16:40:10","2015-06-22","16"
"2924","1234","28","6.8989930000","79.8976870000","6.9004452000","79.9056304000","2015-06-22 16:53:12","2015-06-22","16","2015-06-22 16:53:21","2015-06-22","16"
"2925","1277","363","6.9100930000","79.8533500000","","","2015-06-22 16:57:58","2015-06-22","16","2015-06-22 18:05:31","2015-06-22","18"
"2926","729","407","6.8884654837","79.8556035385","","","2015-06-22 16:58:19","2015-06-22","16","2015-06-22 16:59:15","2015-06-22","16"
"2932","35","356","6.8882904014","79.8559411615","","","2015-06-22 17:50:41","2015-06-22","17","2015-06-22 18:13:37","2015-06-22","18"
"2940","592","407","6.8882501258","79.8557671532","","","2015-06-22 18:09:58","2015-06-22","18","2015-06-22 18:33:47","2015-06-22","18"
"2942","1157","351","6.9340790000","79.8438570000","","","2015-06-22 18:11:51","2015-06-22","18","2015-06-22 18:24:59","2015-06-22","18"
"2943","1041","401","6.8968533791","79.8565339297","","","2015-06-22 18:15:22","2015-06-22","18","2015-06-22 18:58:54","2015-06-22","18"
"2952","1299","351","6.9198777210","79.8661000282","","","2015-06-22 19:16:04","2015-06-22","19","2015-06-22 20:03:28","2015-06-22","20"
"2953","35","15","6.8588390497","79.8693310842","6.8880703000","79.8557938000","2015-06-22 18:55:26","2015-06-22","18","2015-06-22 19:08:09","2015-06-22","19"
"2956","1164","363","6.9215770000","79.8620480000","","","2015-06-22 18:53:42","2015-06-22","18","2015-06-23 11:21:57","2015-06-23","11"
"2957","1285","374","6.8733880000","79.8819260000","","","2015-06-22 20:06:05","2015-06-22","20","2015-06-22 20:06:16","2015-06-22","20"
"2960","1157","367","6.9167280000","79.8654510000","","","2015-06-22 19:06:45","2015-06-22","19","2015-06-22 19:15:57","2015-06-22","19"
"2964","684","329","6.9327620000","79.8432400000","","","2015-06-22 19:25:55","2015-06-22","19","2015-06-22 20:37:14","2015-06-22","20"
"2966","810","290","6.8679281609","79.8722510040","","","2015-06-22 20:17:45","2015-06-22","20","2015-06-22 20:18:02","2015-06-22","20"
"2968","727","15","6.8895342829","79.8558928818","6.9169032000","79.9199518000","2015-06-22 19:33:50","2015-06-22","19","2015-06-22 20:27:50","2015-06-22","20"
"2970","1052","29","6.9045035428","79.8670351133","6.8800691000","79.9067553000","2015-06-22 20:05:05","2015-06-22","20","2015-06-22 20:17:42","2015-06-22","20"
"2971","1204","328","6.8763060000","79.8813440000","","","2015-06-22 20:22:05","2015-06-22","20","2015-06-22 20:46:03","2015-06-22","20"
"2973","969","312","6.8708367730","79.9170100316","","","2015-06-22 20:19:18","2015-06-22","20","2015-06-22 20:42:23","2015-06-22","20"
"2975","1302","335","6.8908830000","79.8599430000","","","2015-06-22 20:33:06","2015-06-22","20","2015-06-22 20:42:39","2015-06-22","20"
"2979","1302","335","6.8462750000","79.8727170000","","","2015-06-22 20:52:16","2015-06-22","20","2015-06-23 11:25:00","2015-06-23","11"
"2984","590","30","6.8880540000","79.8558220000","6.9107648000","79.8670638000","2015-06-22 21:33:16","2015-06-22","21","2015-06-22 21:41:53","2015-06-22","21"
"2985","361","353","6.8882830786","79.8558999225","","","2015-06-22 21:40:00","2015-06-22","21","2015-06-22 22:04:58","2015-06-22","22"
"2986","35","407","6.8879428996","79.8559820652","","","2015-06-22 21:52:52","2015-06-22","21","2015-06-22 22:06:52","2015-06-22","22"
"2990","1339","374","6.9136900000","79.8569260000","","","2015-06-22 21:53:47","2015-06-22","21","2015-06-22 21:53:58","2015-06-22","21"
"2991","747","407","6.8767664518","79.8606464267","","","2015-06-22 22:22:09","2015-06-22","22","2015-06-22 23:02:48","2015-06-22","23"
"2999","1191","396","6.8925790000","79.8693930000","","","2015-06-23 01:31:26","2015-06-23","1","2015-06-23 01:37:13","2015-06-23","1"
"3011","1087","293","6.9163117257","79.8648300022","","","2015-06-23 06:28:56","2015-06-23","6","2015-06-23 06:29:09","2015-06-23","6"
"3013","1395","283","6.8768090000","79.8815460000","","","2015-06-23 07:46:04","2015-06-23","7","2015-06-23 08:02:38","2015-06-23","8"
"3015","1052","406","6.8802025959","79.9067458883","","","2015-06-23 07:59:21","2015-06-23","7","2015-06-23 08:43:56","2015-06-23","8"
"3016","1403","405","6.8793480000","79.8599120000","","","2015-06-23 09:17:52","2015-06-23","9","2015-06-23 09:17:57","2015-06-23","9"
"3024","592","260","6.8680722937","79.8699101061","6.8880747000","79.8558432000","2015-06-23 08:35:45","2015-06-23","8","2015-06-23 08:46:17","2015-06-23","8"
"3027","590","338","6.9106600000","79.8667020000","","","2015-06-23 08:59:33","2015-06-23","8","2015-06-23 09:14:51","2015-06-23","9"
"3028","1156","278","6.9433256150","79.8711979017","","","2015-06-23 09:25:47","2015-06-23","9","2015-06-23 09:30:24","2015-06-23","9"
"3033","35","164","6.8587931127","79.8694480956","","","2015-06-23 09:31:47","2015-06-23","9","2015-06-23 09:42:55","2015-06-23","9"
"3035","684","177","6.9106360000","79.8666890000","","","2015-06-23 09:46:59","2015-06-23","9","2015-06-23 10:02:26","2015-06-23","10"
"3037","1432","175","6.9293200000","79.8488730000","","","2015-06-23 10:02:47","2015-06-23","10","2015-06-23 10:02:56","2015-06-23","10"
"3045","1283","406","6.9421270000","79.8647940000","","","2015-06-23 10:38:06","2015-06-23","10","2015-06-23 11:05:19","2015-06-23","11"
"3048","727","304","6.8880474164","79.8556980863","","","2015-06-23 12:06:25","2015-06-23","12","2015-06-23 12:06:30","2015-06-23","12"
"3060","1433","352","6.8874940000","79.8584140000","","","2015-06-23 11:48:02","2015-06-23","11","2015-06-23 11:48:06","2015-06-23","11"
"3062","1433","351","6.8874940000","79.8584140000","","","2015-06-23 11:37:47","2015-06-23","11","2015-06-23 13:01:33","2015-06-23","13"
"3069","1345","404","6.9133130000","79.8505600000","","","2015-06-23 12:54:33","2015-06-23","12","2015-06-23 12:54:48","2015-06-23","12"
"3071","727","216","6.8881888803","79.8557621241","","","2015-06-23 12:12:48","2015-06-23","12","2015-06-23 13:09:54","2015-06-23","13"
"3073","785","317","6.8780869220","79.8775544018","","","2015-06-23 12:27:49","2015-06-23","12","2015-06-23 13:07:57","2015-06-23","13"
"3082","729","363","6.8882897357","79.8564293236","","","2015-06-23 12:59:17","2015-06-23","12","2015-06-23 13:00:27","2015-06-23","13"
"3084","729","363","6.8880088051","79.8562620208","","","2015-06-23 13:05:15","2015-06-23","13","2015-06-23 13:06:48","2015-06-23","13"
"3085","666","351","6.8891941048","79.8640860245","","","2015-06-23 13:23:28","2015-06-23","13","2015-06-23 13:30:48","2015-06-23","13"
"3094","729","414","6.8881476061","79.8560249805","","","2015-06-23 13:16:08","2015-06-23","13","2015-06-23 13:17:05","2015-06-23","13"
"3100","1091","14","6.9155788195","79.8526920006","6.9115143000","79.8693842000","2015-06-23 13:33:03","2015-06-23","13","2015-06-23 13:41:33","2015-06-23","13"
"3101","1458","216","6.8609610000","79.8734140000","","","2015-06-23 13:39:11","2015-06-23","13","2015-06-23 14:11:18","2015-06-23","14"
"3103","1091","407","6.9115711137","79.8699999601","","","2015-06-23 14:00:36","2015-06-23","14","2015-06-23 14:16:19","2015-06-23","14"
"3107","1157","217","6.9052930000","79.8549480000","","","2015-06-23 14:25:01","2015-06-23","14","2015-06-23 16:47:53","2015-06-23","16"
"3113","1091","400","6.8969888491","79.8776519671","","","2015-06-23 14:34:59","2015-06-23","14","2015-06-23 14:44:22","2015-06-23","14"
"3116","1091","318","6.8778013253","79.8778994009","","","2015-06-23 14:57:45","2015-06-23","14","2015-06-23 15:02:51","2015-06-23","15"
"3118","610","415","6.8881812246","79.8558010161","","","2015-06-23 15:14:00","2015-06-23","15","2015-06-23 15:44:42","2015-06-23","15"
"3123","1091","397","6.8718846412","79.8899039626","","","2015-06-23 15:24:57","2015-06-23","15","2015-06-23 15:33:00","2015-06-23","15"
"3130","1091","301","6.8555442249","79.8882899433","","","2015-06-23 15:46:26","2015-06-23","15","2015-06-23 15:53:58","2015-06-23","15"
"3135","1091","216","6.8664435569","79.8705897108","","","2015-06-23 16:07:34","2015-06-23","16","2015-06-23 16:17:41","2015-06-23","16"
"3139","1091","421","6.8770926585","79.8604439199","6.9150172000","79.8525957000","2015-06-23 16:35:58","2015-06-23","16","2015-06-23 16:53:26","2015-06-23","16"
"3140","1320","403","6.9198700658","79.8558077216","","","2015-06-23 17:10:48","2015-06-23","17","2015-06-23 17:11:27","2015-06-23","17"
"3141","1049","363","6.9221120293","79.8575880378","","","2015-06-23 16:49:30","2015-06-23","16","2015-06-23 17:29:13","2015-06-23","17"
"3142","785","405","6.9117911207","79.8500748351","","","2015-06-23 16:52:35","2015-06-23","16","2015-06-23 17:03:45","2015-06-23","17"
"3148","361","353","6.8808932835","79.8593378440","","","2015-06-23 17:13:03","2015-06-23","17","2015-06-23 17:49:00","2015-06-23","17"
"3152","729","423","6.8881565933","79.8559837416","6.8880965000","79.8557342000","2015-06-23 17:22:41","2015-06-23","17","2015-06-23 17:43:43","2015-06-23","17"
"3157","1433","403","6.8883590000","79.8566140000","","","2015-06-23 19:15:16","2015-06-23","19","2015-06-23 19:58:21","2015-06-23","19"
"3158","1037","328","6.8754336619","79.8809641600","","","2015-06-23 18:36:41","2015-06-23","18","2015-06-23 18:36:48","2015-06-23","18"
"3160","1439","339","6.8928790000","79.8678700000","","","2015-06-23 17:37:27","2015-06-23","17","2015-06-23 17:40:08","2015-06-23","17"
"3161","1013","356","6.8995264903","79.8556249961","","","2015-06-23 17:46:23","2015-06-23","17","2015-06-23 18:27:06","2015-06-23","18"
"3162","1439","339","6.8930300000","79.8674590000","","","2015-06-23 17:42:30","2015-06-23","17","2015-06-23 17:51:04","2015-06-23","17"
"3169","1516","226","6.8861414778","79.8561108112","","","2015-06-23 18:19:26","2015-06-23","18","2015-06-23 18:20:27","2015-06-23","18"
"3170","592","431","6.8880983434","79.8558030277","","","2015-06-23 18:33:23","2015-06-23","18","2015-06-23 18:38:28","2015-06-23","18"
"3171","684","400","6.9328410000","79.8432290000","","","2015-06-23 18:50:48","2015-06-23","18","2015-06-23 18:53:16","2015-06-23","18"
"3172","1052","415","6.9114266613","79.8554389179","","","2015-06-23 19:02:32","2015-06-23","19","2015-06-23 19:43:22","2015-06-23","19"
"3174","1542","367","6.8965691251","79.8548907414","","","2015-06-23 18:59:20","2015-06-23","18","2015-06-23 19:21:50","2015-06-23","19"
"3175","917","319","6.9189747419","79.8504429683","","","2015-06-23 18:50:57","2015-06-23","18","2015-06-23 19:22:57","2015-06-23","19"
"3178","590","217","6.8881600000","79.8557880000","","","2015-06-23 19:12:52","2015-06-23","19","2015-06-23 19:38:54","2015-06-23","19"
"3183","1449","348","6.8868697696","79.8584158346","","","2015-06-23 19:37:26","2015-06-23","19","2015-06-23 20:04:04","2015-06-23","20"